,text,time
0, 网络信息内容生态治理规定 实行 网络暴力 人肉搜索等被明令禁止 网络 是每个人数字化言行的总和 我们在网上如何表现 网络世界就会如何呈现 尤其当人人皆有麦克风 比发表观点更难的是保持理性 比主张权利更可贵的是守住规则边界 从我做起 拒绝乌烟瘴气 还网络气正风清 央视网快看的微博视频                                 ,2020-02-29 23:46
1,晚上8点半 来自安徽省第二批援鄂医疗队的8名队员结束了当天工作 离开武汉客厅方舱医院 从中午到现在 他们已不吃不喝工作了8个小时 有的人一坐上车便靠在椅子上睡着了  离开安徽已经20多天 对于家人 他们有很多想说的话 戳    人民日报的微博视频                                 ,2020-02-29 23:20
2,据美联社报道 美国与塔利班2月29日签署和平协议 旨在结束长达18年的阿富汗战争 根据协议 美军将在未来三到四个月 将驻阿美军规模从现在的1 3万削减至8600 并在14个月内完成全部撤军 不过 美军是否全部撤军取决于塔利班是否遵守协议中的相关承诺与否  人民日报记者李志伟                   原图                             ,2020-02-29 23:04
3, 让一线白衣战士远离压痕和过敏 抗 疫  美容两不误 暖心又贴心 当然也有男医护表示  天生丽质不需要  网友 贴心了 一定要保护好自己 人民海军的微博视频  ,2020-02-29 22:55
4,我太难了 但我从未想过放弃                                 ,2020-02-29 22:31
5,t cnA67f8V5C              组图共6张       原图                             ,2020-02-29 22:18
6,人民日报记者李永群消息 法国卫生部长韦朗29日在新闻发布会上表示 法国当天新增16例新冠肺炎感染病例 累计确诊病例达73例 法国疫情扩散进入第二阶段 截至目前 法国确诊的73名患者中 2人死亡 12人痊愈出院 另有59人在医院接受治疗   原图 ,2020-02-29 21:58
7,赵涛 陕西周至县一名普通的90后货车司机 如果没有这次疫情 他可能就跟往常一样 送完货回家过年 但今年 赵涛却从大年初三开始 吃睡都在车上 连续6次在午夜开着9 6米长的大货车 狂奔在驰援武汉的道路上 为医院送去急需的物资 陕视新闻的微博视频  ,2020-02-29 21:39
8,据北京日报 29日北京天通苑部分小区出现人员持假冒临时出入证进出社区 假证的字体和内容均与普通证件相同 只是颜色 纸质有所区别 为社区人员排查增加了困难 目前 相关人员和证据已经移交天通苑派出所作进一步处理 天通苑部分小区出入证有人造假 现已移交警方处理   组图共2张  原图 ,2020-02-29 21:13
9,3月1日起  网络信息内容生态治理规定 开始实行 规定明确 网络信息内容服务使用者和生产者 平台 不得开展网络暴力 人肉搜索 深度伪造 流量造假 操纵账号等违法活动 网络信息内容生产者应防范和抵制制作 复制 发布含有使用夸张标题 内容与标题严重不符和炒作绯闻 丑闻 劣迹等不良信息等  央视网快看的微博视频                                 ,2020-02-29 20:42
